TCP,EEBO,VID,STC,Status,Author,Date,Title,Terms,Pages
N00051,,,Evans 90; Evans 91; Wing N1324,Free,"Norton, John, 1606-1663.; Wilson, John, 1588-1667.; Norton, John, 1606-1663. Sion the outcast healed of her wounds.; Norton, John, 1606-1663. Believer's consolation, in the remembrance of his heavenly mansion ...; Norton, John, 1606-1663. Evangelical worshipper, subjecting to the prescription and soveraignth of Scripture-patern.",1664,"Three choice and profitable sermons upon several texts of Scripture; viz. Jer. 30. 17. John 14. 3. Heb. 8. 5. / By that Reverend servant of Christ, Mr. John Norton late teacher of the Church of Christ at Boston in N.E. ; The first of them being the last sermon which he preached at the Court of Election at Boston. The second was the last which he preached on the Lord's Day. The third was the last which he preached on his weekly-lecture-day. ; Wherein (beside many other excellent and seasonable truths) is showed, the Lords sovereignty over, and care for his church and people, in order to both their militant and triumphant condition; and their fidelity and good affection toward himself. ; [Eleven lines of Scripture quotations]","Dury, John, 1596-1680.; Covenants (Church polity).; Election sermons -- Massachusetts -- 1661.; Sermons -- 1663.; Poems -- 1664.",44
N00054,,,Evans 93; Wing S3129,Free,"Shepard, Thomas, 1605-1649.; Greenhill, William, 1591-1671.",1664,"[The sincere convert, discovering the small number of true believers, and the great difficulty of saving conversion. ...]",Conversion -- Christianity,164
N00055,,,Evans 94; Wing W2023,Free,"Whiting, Samuel, 1597-1679.",1664,"A discourse of the last judgment: or, Short notes upon Mat. XXV. from ver. 31 to the end of the chapter. Concerning the judgment to come, and our preparation to stand before the Great Judge of quick and dead. ... / By Samuel Whiting, Pastor of the Church of Christ at Lynne in N.E. ; [Nine lines of Scripture texts]",Judgment Day.,174
N00058,,,Evans 98; Wing N1141,Free,"New York (State). Governor (1664-1668 : Nicolls).; Nicolls, Richard, 1624-1672.",1665,The conditions for new-planters in the territories of his royal highness the Duke of York.,"Land grants -- New York (State).; Migration, Internal -- New York (State).; Public lands -- New York (State); New York (State) -- Emigration and immigration.; Broadsides.",2
N00059,,,Evans 99; Wing D173,Free,"Danforth, Samuel, 1626-1674.",1665,"An astronomical description of the late comet or blazing star, as it appeared in New England in the 9th, 10th, 11th, and the beginning of the 12th month, 1664. : Together with a brief theological application thereof. / By S. Danforth. ; [Seven lines of Scripture text]",Comets -- 1664.,25
N00060,,,Evans 100; Wing D1526,Free,"Higginson, John, 1616-1708.; First Church (Salem, Mass.).",1665,"A direction for a public profession in the church assembly, after private examination by the elders. Which direction is taken out of the Scripture, and points unto that faith and covenant contained in the Scripture. Being the same for substance which was propounded to, and agreed upon by the church of Salem at their beginning, the sixth of the sixth month, 1629. In the preface to the Declaration of the faith owned and professed by the Congregationall churches in England.",Congregational churches -- Creeds,7
N00061,,,Evans 101; Wing E508,Free,"Eliot, John, 1604-1690.",1665,"Communion of churches: or, The divine management of Gospel-churches by the ordinance of councils, constituted in order according to the Scriptures. : As also, the way of bringing all Christian parishes to be particular reforming congregationall churches: humbly proposed, as a way which has so much light from the Scriptures of truth, as that it may lawfully be submitted unto by all; and may, by the blessing of the Lord, be a means of uniting those two holy and eminent parties, the Presbyterians and the Congregationals. : As also to prepare for the hoped for resurrection of the churches; and to propose a way to bring all Christian nations unto an unity of the faith and order of the Gospel. / Written by John Eliot, teacher of Roxbury in N.E. ; [Two lines of Scripture texts]",Church polity and Christian union.,41
N00063,,,Evans 103; Wing M1019,Free,"Massachusetts.; Rawson, Edward, 1615-1693.",1665,"Several laws and orders made at the General Courts in May 3. August 1. & October 11. 1665. Printed and published by order of the General Court held at Boston the 11th of October, 1665. By Edward Rawson secr'.; Laws, etc. (Session laws : 1665)",,4
N00068,,,Evans 109; Wing M1020,Free,"Massachusetts.; Rawson, Edward, 1615-1693.",1666,"Several laws and orders made at the General Court held at Boston, the 23d of May, 1666. And on the 11th of October following. Printed and published by order of the General Court, the said 11th of October, 1666. By Edward Rawson secr.; Laws, etc. (Session laws : 1666)",,4
N00069,,,Evans 111; Wing W2022,Free,"Whiting, Samuel, 1597-1679.",1666,"Abraham's humble intercession for Sodom, and the Lord's gracious concessions in answer thereunto: containing sundry meditations upon Genesis XVIII. from ver. XXIII. to the end of the chapter. Wherein many things are spoken of concerning believers drawing near to God, and the efficacy of their prayers; and how they may be princes and prevailers with God, and with what boldness they may come before him, and what ground they may get of him by their prayers, and what sweet communing they have with him. : With sundry other things worthy of our most serious thoughts, helping us to be more spiritual and heavenly, which may prepare us for that everlasting communion and fellowship that we hope to arrive at, and come to in a blessed state of glory by Jesus Christ. / By Samuel Whiting, Pastor of the Church of Christ at Lyn in N.E. ; [Three lines of Scripture texts]",Prayer.,357
N00072,,,Evans 115; Wing M989,Free,Massachusetts.,1667,"Boston in New England. August 9th. 1667. The governor, deputy governor and sundry of the magistrates, being assembled, do judge meet to commend to their beloved brethren and neighbors the inhabitants of this colony this following proposal.",Broadsides.,2
N00073,,,Evans 116,Free,"Reyner, Edward, 1600-1668.",1668,"Precepts for Christian practice: or, The rule of the new creature: containing duties to be daily observed by every believer. : [Three lines from Galatians]",Christian life.,40
N00074,,,Evans 119; Wing B4381,Free,"Bres, Guy de, 1522-1567.; Scottow, Joshua, 1618-School, tr.",1668,"The rise, spring and foundation of the Anabaptists, or rebaptized of our time. Written in French by Guy de Brez, 1565. Minister of the Word, and martyr. ; And translated for the use of his countrymen by J.S. ; [Two lines from Ecclesiastes]",Anabaptists.; Booksellers' advertisements -- Massachusetts -- Cambridge.,62
N00077,,,Evans 124; Wing M1021,Free,"Massachusetts.; Rawson, Edward, 1615-1693.; Massachusetts. General Court. At a General Court held at Boston, April 29. 1668.",1668,"Several laws and orders made at the General Court of Election. Held at Boston in New England the 29th. of April 1668. : Printed and published by their order. Edward Rawson. secr.; Laws, etc. (Session laws : 1668 Apr.)",,10
N00078,,,Evans 125,Free,"Massachusetts.; Rawson, Edward, 1615-1693.",1668,"Several laws and orders made at the General Court, held at Boston in New England, October 14. 1668. Printed and published by their order. Edward Rawson secr.; Laws, etc. (Session laws : 1668 Oct.)",,21
N00079,,,Evans 126; Wing M1025,Free,Massachusetts. Council.,1669,"To the elders and ministers of every town within the jurisdiction of the Massachusetts in New England: the governor and Council sends greeting; Reverend, and beloved in the Lord.",Christian education -- Massachusetts.; Christian education of children.; Christian education of young people.; Broadsides.,2
N00080,,,Evans 128; Wing P190,Free,"Pain, Philip, d. 1668?; J. T.",1668,"Daily meditations: or, Quotidian preparations for, and considerations of death and eternity. Begun July 19. 1666. By Philip Pain; who lately suffering shipwreck, was drowned. ; [Four lines of Scripture texts]",Death -- Meditations.; Death -- Poetry.; Poems -- 1668.,21
N00081,,,Evans 130; Wing S3150,Free,"Shepard, Thomas, 1605-1649.; Chauncy, Charles, 1592-1672.; Sherman, John, 1613-1685, licensor.",1668,"Wine for Gospel wantons: or, Cautions against spiritual drunkenness. Being the brief notes of a sermon preached at Cambridge in New England, upon a day of public fasting and prayer throughout the colony, June 25. 1645. In reference to the sad estate of the Lords people in England. / By that Reverend servant of the Lord, Mr. Thomas Shepard deceased, sometimes the Pastor of the Church of Christ there. ; [Five lines of Scripture texts] ; Imprimatur, Charles Chauncy. John Sherman.",Fast day sermons -- 1645 June 25.,15
N00082,,,Evans 131,Free,"Flavel, John, 1630?-1691.",1668,"Tidings from Rome or England's alarm. Wherein several grounds to suspect the prevalency of the popish interest are seasonably suggested; Londons ruin pathetically lamented; arguments to dissuade from the popish religion, are urged; and the duties of Christians in this time of common danger, and distraction persuaded. : [Thirteen lines of quotations]",Catholic Church -- Doctrinal and controversial works -- Protestant authors.; Anti-Catholicism.; Great Britain -- Religion.,32
N00083,,,Evans 132; Wing V443,Free,"Vincent, Thomas, 1634-1678.",1668,"Gods terrible voice in the city of London wherein you have the narration of the two late dreadful judgments of plague and fire, inflicted by the Lord upon that city; the former in the year 1665. the latter in the year 1666. / By T.V. ; To which is added, the general bill of mortality, showing the number of persons which died in every parish of all diseases, and of the plague, in the year abovesaid. ; [Two lines from Micah]","Plague -- England -- London -- 1665; Epidemics -- England -- London.; Fires -- England -- London.; Great Fire, London, England, 1666; London (England) -- History -- 17th century.",30
N00085,,,Evans 137; Wing D360,Free,"Davenport, John, 1597-1670.",1669,Gods call to his people to turn unto him; together with his promise to turn unto them. Opened and applied in II. sermons at two public fasting-dayes appointed by authority. / By Mr. John Davenport: B.D. and Pastor to the First Church of Christ at Boston in New England. ; Published by the desire of sundry friends.,"Bible -- Criticism, interpretation, etc.; Conversion -- Christianity; Salvation.; Repentance.; Fast day sermons.",27
N00087,,,Evans 139; Wing W2969,Free,"Winchilsea, Heneage Finch, Earl of, d. 1689.; Charles II, King of England, 1630-1685.",1669,"A true and exact relation of the late prodigious earthquake & eruption of Mount Aetna, or, Monte-Gibello; as it came in a letter written to His Majesty from Naples by the Right Honorable the Earl of VVinchilsea, His Majesty's late ambassador at Constantinople, who in his return from thence, visiting Catania in the island of Sicily, was an ey-witness of that dreadful spectacle. ; Together with a more particular narrative of the same, as it is collected out of several relations sent from Catania. ; Published by authority.","Earthquakes -- Italy -- Sicily.; Volcanoes -- Italy -- Sicily.; Etna, Mount (Italy)",19
N00089,,,Evans 141; Wing M959,Free,Massachusetts. Council.,1669,"At a Council held at Boston, March 10. 1668 [new style, 1669]. The governor and magistrates being assembled in Council ... do therefore commend ... the twenty fifth day of this instant to be kept a public day of humiliation ...",Broadsides.; Fast day proclamations -- 1668 Mar. 25.,2
N00090,,,Evans 142; Wing M1021,Free,Massachusetts.,1669,"Several laws and orders made at the General Court of election held at Boston, May 19th 1669. And printed and published by their order, June 4. 1669. Edwd Rawson secret'.; Laws, etc. (Session laws : 1669 May)",,8
N00091,,,Evans 143,Free,"Mather, Increase, 1639-1723.; Davenport, John, 1597-1670.; Greenhill, William, 1591-1671.; Hook, William, 1600 or 1601-1678.",1669,"The mystery of Israel's salvation, explained and applied: or, A discourse concerning the general conversion of the Israelitish nation. Wherein is showed, 1. That the Twelve Tribes shall be saved. 2. When this is to be expected. 3. Why this must be. 4. What kind of salvetion the Tribes of Israel shall partake of (viz.) a glorious, wonderful, spiritual, temporal salvation. : Being the substance of several sermons preached / by Increase Mather, M.A. teacher of a church in Boston in New England. ; [Ten lines of Scripture texts]",Millennium (Eschatology); Jews -- Conversion to Christianity.,237
N00092,,,Evans 144; Wing M2827,Free,"Morton, Nathaniel, 1613-1685.; Higginson, John, 1616-1708.; Thacher, Thomas, 1620-1678.; Prince, Thomas, 1601 or 2-1673, dedicatee.",1669,"New-Englands memorial: or, A brief relation of the most memorable and remarkable passages of the providence of God, manifested to the planters of New England in America; with special reference to the first colony thereof, called New Plymouth. : As also a nomination of diverse of the most eminent instruments deceased, both of church and commonwealth, improved in the first beginning and after-progress of sundry of the respective jurisdictions in those parts; in reference unto sundry exemplary passages of their lives, and the time of their death. / Published for the use and benefit of present and future generations, by Nathaniel Morton, secretary to the court for the jurisdiction of New Plymouth. ; [Six lines of Scripture texts]","Massachusetts -- History -- New Plymouth, 1620-1691.; New England -- History -- Colonial period, ca. 1600-1775.",219
N00093,,,Evans 146; Wing W554,Free,"Walley, Thomas, 1616-1678.",1669,"Balm in Gilead to heal Sions wounds: or, A treatise wherein there is a clear discovery of the most prevailing sicknesses of New England, both in the civil and ecclesiastical state; as also suitable [sic] remedies for the cure of them: collected out of that spiritual directory, the Word of God. : Delivered in a sermon preached before the General Court of the colony of New Plymouth on the first day of June 1669. Being the day of election there. / By Thomas Walley, Pastor of the Church of Christ at Barnstable in New England. ; [Ten lines of Scripture texts]","Massachusetts -- History -- New Plymouth, 1620-1691.; Election sermons -- Massachusetts -- 1669.",22
N00096,,,Evans 149; Wing M960,Free,Massachusetts. Council.,1670,At a Council held at Boston September. 8. 1670. The Council ... do therefore appoint ... the twentieth of this instant September to be a day of public humiliation ...,Broadsides.; Fast day proclamations -- 1670 Sept. 22.,2
N00097,,,Evans 150; Wing M1226,Free,"Mather, Increase, 1639-1723.",1670,"The life and death of that Reverend man of God, Mr. Richard Mather, teacher of the church in Dorchester in New England. [Seven lines of quotations]","Mather, Richard, 1596-1669 -- Biography.",42
N00098,,,Evans 151; Wing M1283,Free,"Mather, Samuel, 1626-1671.; Mather, Increase, 1639-1723.",1672,"A testimony from the Scripture against idolatry & superstition, in two sermons, upon the example of that great reformer Hezekiah, 2 Kings XVIII 4. : The first, witnessing in general against all the idols and inventions of men in the worship of God. : The second, more particularly against the ceremonies, and some other corruptions of the Church of England. / Preached, the one September 27. the other September. 30. 1660 by Mr. Samuel Mather, teacher to a Church of Christ in Dublin in Ireland. ; [Seven lines from I Samuel]",Church of England -- Doctrinal and controversial works.; Idols and images.; Sermons -- 1660.,81
N00099,,,Evans 152; Wing O837,Free,"Oxenbridge, John, 1609-1674.",1670,"A quickening word for the hastening a sluggish soul to a seasonable answer to the divine call. Published by a poor sinner that found it such to him. : Being the last sermon preached in the First Church of Boston upon Isaiah 55. 6. / By the pastor there, on the 24th of the fifth month, 1670.",Sermons -- 1670.,21
N00100,,,Evans 153; Wing P191,Free,"Pain, Philip, d. 1668?; Johnson, Marmaduke, d. 1674.",1670,"Daily meditations: or, Quotidian preparations for and considerations of death and eternity begun July 19. 1666. By Philip Pain: who lately suffering shipwreck, was drowned. ; [Four lines of Scripture texts]",Death -- Meditations.; Death -- Poetry.; Poems -- 1670.,21
N00102,,,Evans 156; Wing S5765,Free,"Stoughton, William, 1632-1701.; Sherman, John, 1613-1685.; Massachusetts. General Court.",1670,"New-Englands true interest; not to lie: or, A treatise declaring from the word of truth the terms on which we stand, and the tenure by which we hold our hitherto-continued precious and pleasant things. Showing what the blessed God expects from his people, and what they may rationally look for from him. : Delivered in a sermon preached in Boston in New England, April 29. 1668. Being the day of election there. / By Mr. W. Stoughton, preacher of the Gospel in Dorchester. ; [Ten lines of Scripture texts]",Election sermons -- Massachusetts -- 1668.,40
N00104,,,Evans 158; Wing W2104,Free,"Wigglesworth, Michael, 1631-1705.; Wigglesworth, Michael, 1631-1705. Riddles unriddled, or, Christian paradoxes broke open ...",1670,"Meat out of the eater: or, Meditations concerning the necessity, end, and usefulness of afflictions unto Gods children. All tending to prepare them, for, and comfort them under the cross. / By Michael Wigglesworth.",Suffering -- Poetry.; Poems -- 1670.,203
N00105,,,Evans 159; Wing P2399,Free,"Cambridge Synod; Mather, Richard, 1596-1669.; Cotton, John, 1584-1652.",1671,"A platform of church discipline gathered out of the Word of God; and agreed upon by the elders and messengers of the churches assembled in the Synod at Cambridge in N.E. : To be presented at the churches and General Court for their consideration and acceptance, in the Lord. : The eight month anno 1649 : [Six lines from Psalms]",Congregational churches -- Doctrinal and controversial works.; Congregational churches -- New England.; New England -- Church history.,46
N00106,,,Evans 160; Wing D175,Free,"Danforth, Samuel, 1626-1674.; Shepard, Thomas, 1635-1677.; Massachusetts. General Court.",1671,"A brief recognition of New-Englands errand into the wilderness; made in the audience of the General Assembly of the Massachusetts Colony, at Boston in N.E. on the 11th of the third month, 1670 [i.e., 1671]. Being the day of election there. / By Samuel Danforth, Pastor of the Church of Christ in Roxbury in N.E. ; [Eight lines from Jeremiah]",Election sermons -- Massachusetts -- 1671.,29
N00107,,,Evans 161; Wing E513,Free,"Eliot, John, 1604-1690.",1671,"Indian dialogues, for their instruction in that great sevice of Christ, in calling home their countrymen to the knowledge of God, and of themselves, and of Jesus Christ. : [Seven lines from Malachi]",Massachuset Indians -- Missions.; Indians of North America -- Missions.; Dialogues.,79
N00108,,,Evans 162; Wing M1179,Free,"Mather, Eleazar, 1637-1669.; Mather, Increase, 1639-1723, ed.",1671,"A serious exhortation to the present and succeeding generation in New England; earnestly calling upon all to endeavor that the Lords gracious presence may be continued with posterity. / Being the substance of the last sermons preached by Eleazar Mather, late Pastor of the church in Northampton in New England. ; [Eleven lines of Scripture texts]",Sermons -- 1669.,38
N00109,,,Evans 163; Wing M2290,Free,"Mitchel, Jonathan, 1624-1668.; Sherman, John, 1613-1685.; Massachusetts. General Court.",1671,"Nehemiah on the wall in troublesome [sic] times; or, A serious and seasonable improvement of that great example of magistratical piety and prudence, self-denial and tenderness, fearlessness and fidelity, unto instruction and encouragement of present and succeeding rulers in our Israel. As it was delivered in a sermon preached at Boston in N.E. May 15. 1667. being the day of election there. / By that faithful servant of Christ, Mr. Jonathan Mitchel, late Pastor of the Church of Christ at Cambridge. ; [Eight lines of Scripture texts]",Massachusetts -- Politics and government -- To 1775; Election sermons -- Massachusetts -- 1671.,38
N00111,,,Evans 165; Wing A1037,Free,"Allin, John, 1596-1671.; Allin, John, 1596-1671. Lord Jesus his legacy of peace ...",1672,"The spouse of Christ coming out of affliction, leaning upon her beloved: or A sermon preached by Mr. John Allin the late Reverend Pastor to the church of Christ at Dedham, at the administration of the Lords Supper. August 6, 1671. ; And may be useful to any church of Christ, or true believer in a state of affliction. ; [Four lines from Samuel]",Lord's Supper.; Sermons -- 1671.,30
N00113,,,Evans 167; Wing F1066,Free,"Fitch, James, 1622-1702.; Sherman, John, 1613-1685.",1672,"Peace the end of the perfect and uprigh [sic], demonstrated and usefully improved in a sermon, preached upon the occasion of the death and decease of that piously affected, and truly religious matron, Mrs. Anne Mason: sometime wife to Major Mason, who not long after finished his course and is now at rest. / By Mr. James Fitch Pastor of the Church of Christ at Norwich. ; [Six lines of Scripture texts]","Mason, Anne, 1619-1672.; Funeral sermons -- 1672.",16
N00114,,,Evans 168; Wing M1003,Free,"Massachusetts.; Rawson, Edward, 1615-1693.",1672,"The general laws and liberties of the Massachusetts colony: revised & reprinted, by order of the General Court holden at Boston. May 15th. 1672. Edward Rawson secr. : [Two lines from Romans]; Laws, etc.",,199
